iter	Passed	Remaining
1380	5329	2388
1381	5332	2384
1382	5335	2380
1383	5338	2376
1384	5341	2371
1385	5344	2367
1386	5347	2363
1387	5351	2359
1388	5353	2355
1389	5357	2350
1390	5360	2346
1391	5363	2342
1392	5366	2338
1393	5369	2334
1394	5372	2329
1395	5375	2325
1396	5378	2321
1397	5381	2317
1398	5384	2313
1399	5387	2309
1400	5390	2304
1401	5393	2300
1402	5396	2296
1403	5400	2292
1404	5403	2288
1405	5406	2283
1406	5411	2280
1407	5416	2277
1408	5422	2274
1409	5427	2271
1410	5434	2268
1411	5439	2265
1412	5442	2260
1413	5445	2256
1414	5448	2252
1415	5452	2248
1416	5455	2244
1417	5458	2240
1418	5461	2236
1419	5464	2232
1420	5467	2227
1421	5470	2223
1422	5473	2219
1423	5476	2215
1424	5479	2211
1425	5483	2207
1426	5486	2202
1427	5489	2198
1428	5492	2194
1429	5495	2190
1430	5498	2186
1431	5501	2182
1432	5504	2177
1433	5507	2173
1434	5510	2169
1435	5513	2165
1436	5516	2161
1437	5519	2157
1438	5522	2152
1439	5525	2148
1440	5528	2144
1441	5531	2140
1442	5534	2136
1443	5537	2132
1444	5540	2128
1445	5543	2124
1446	5547	2119
1447	5550	2115
1448	5553	2111
1449	5556	2107
1450	5559	2103
1451	5563	2099
1452	5566	2095
1453	5569	2091
1454	5572	2087
1455	5575	2083
1456	5578	2078
1457	5581	2074
1458	5584	2070
1459	5587	2066
1460	5590	2062
1461	5593	2058
1462	5596	2054
1463	5599	2050
1464	5604	2046
1465	5609	2043
1466	5615	2040
1467	5620	2036
1468	5627	2034
1469	5631	2030
1470	5634	2026
1471	5637	2022
1472	5641	2018
1473	5645	2014
1474	5648	2010
1475	5651	2006
1476	5654	2002
1477	5657	1998
1478	5660	1994
1479	5663	1989
1480	5667	1985
1481	5670	1981
1482	5673	1977
1483	5676	1973
1484	5679	1969
1485	5682	1965
1486	5685	1961
1487	5688	1957
1488	5691	1953
1489	5695	1949
1490	5698	1945
1491	5701	1941
1492	5704	1937
1493	5707	1932
1494	5710	1928
1495	5713	1924
1496	5716	1920
1497	5719	1916
1498	5722	1912
1499	5725	1908
1500	5728	1904
1501	5731	1900
1502	5734	1896
1503	5737	1892
1504	5740	1888
1505	5743	1884
1506	5746	1879
1507	5749	1875
1508	5752	1871
1509	5755	1867
1510	5758	1863
1511	5761	1859
1512	5764	1855
1513	5768	1851
1514	5771	1847
1515	5774	1843
1516	5777	1839
1517	5780	1835
1518	5783	1831
1519	5786	1827
1520	5789	1823
1521	5795	1820
1522	5801	1817
1523	5807	1813
1524	5813	1810
1525	5816	1806
1526	5819	1802
1527	5822	1798
1528	5825	1794
1529	5829	1790
1530	5833	1787
1531	5836	1782
1532	5839	1778
1533	5842	1774
1534	5846	1770
1535	5849	1766
1536	5852	1762
1537	5855	1758
1538	5858	1754
1539	5861	1750
1540	5864	1746
1541	5867	1742
1542	5870	1738
1543	5873	1734
1544	5876	1730
1545	5879	1726
1546	5882	1722
1547	5886	1718
1548	5890	1715
1549	5895	1711
1550	5898	1707
1551	5902	1703
1552	5907	1700
1553	5918	1698
1554	5923	1695
1555	5927	1691
1556	5930	1687
1557	5933	1683
1558	5936	1679
1559	5939	1675
1560	5943	1671
1561	5946	1667
1562	5949	1663
1563	5953	1659
1564	5956	1655
1565	5959	1651
1566	5963	1647
1567	5966	1643
1568	5969	1639
1569	5972	1635
1570	5976	1631
1571	5979	1628
1572	5985	1624
1573	5990	1621
1574	5996	1618
1575	6004	1615
1576	6008	1611
1577	6011	1607
1578	6014	1603
1579	6018	1599
1580	6022	1596
1581	6025	1592
1582	6028	1588
1583	6031	1584
1584	6034	1580
1585	6037	1576
1586	6041	1572
1587	6044	1568
1588	6047	1564
1589	6050	1560
1590	6053	1556
1591	6056	1552
1592	6059	1548
1593	6062	1544
1594	6065	1540
1595	6068	1536
1596	6071	1532
1597	6074	1528
1598	6077	1524
1599	6080	1520
1600	6083	1516
1601	6086	1512
1602	6089	1508
1603	6092	1504
1604	6095	1500
1605	6098	1496
1606	6101	1492
1607	6104	1488
1608	6107	1484
1609	6110	1480
1610	6113	1476
1611	6116	1472
1612	6120	1468
1613	6123	1464
1614	6126	1460
1615	6129	1456
1616	6132	1452
1617	6135	1448
1618	6138	1444
1619	6141	1440
1620	6144	1436
1621	6147	1432
1622	6150	1428
1623	6154	1424
1624	6157	1420
1625	6160	1416
1626	6163	1412
1627	6166	1408
1628	6169	1405
1629	6175	1401
1630	6180	1398
1631	6186	1394
1632	6191	1391
1633	6198	1388
1634	6201	1384
