iter	Passed	Remaining
194	2502	23165
195	2513	23136
196	2533	23190
197	2544	23160
198	2555	23129
199	2566	23101
200	2579	23088
201	2591	23067
202	2602	23034
203	2628	23137
204	2638	23102
205	2648	23066
206	2659	23033
207	2669	23001
208	2681	22975
209	2692	22953
210	2703	22918
211	2713	22885
212	2723	22849
213	2733	22816
214	2744	22782
215	2765	22837
216	2776	22811
217	2786	22780
218	2827	22996
219	2838	22962
220	2848	22931
221	2859	22901
222	2871	22878
223	2883	22858
224	2893	22830
225	2904	22798
226	2915	22770
227	2941	22858
228	2957	22869
229	2967	22834
230	2977	22802
231	2988	22771
232	2998	22738
233	3009	22710
234	3019	22676
235	3030	22648
236	3041	22623
237	3051	22592
238	3062	22561
239	3072	22532
240	3084	22509
241	3123	22689
242	3135	22669
243	3145	22640
244	3156	22611
245	3168	22594
246	3180	22574
247	3191	22549
248	3203	22525
249	3213	22496
250	3223	22464
251	3234	22434
252	3245	22409
253	3255	22379
254	3266	22351
255	3276	22322
256	3303	22402
257	3314	22376
258	3324	22350
259	3335	22319
260	3345	22293
261	3356	22265
262	3367	22238
263	3377	22209
264	3389	22194
265	3399	22163
266	3409	22132
267	3419	22101
268	3431	22078
269	3443	22062
270	3467	22121
271	3478	22098
272	3489	22075
273	3501	22058
274	3513	22038
275	3524	22013
276	3535	21993
277	3562	22063
278	3573	22041
279	3593	22077
280	3606	22060
281	3617	22039
282	3628	22014
283	3671	22186
284	3683	22166
285	3694	22143
286	3706	22125
287	3718	22102
288	3729	22082
289	3741	22064
290	3753	22046
291	3766	22029
292	3777	22008
293	3792	22004
294	3804	21985
295	3816	21968
296	3828	21949
297	3840	21933
298	3852	21916
299	3872	21943
300	3884	21925
301	3904	21952
302	3916	21937
303	3928	21916
304	3940	21900
305	3952	21880
306	3963	21858
307	3975	21840
308	4014	21970
309	4025	21945
310	4035	21918
311	4046	21893
312	4057	21870
313	4068	21846
314	4079	21822
315	4090	21800
316	4102	21778
317	4113	21756
318	4123	21730
319	4134	21707
320	4145	21682
321	4155	21655
322	4166	21631
323	4176	21606
324	4187	21579
325	4197	21555
326	4209	21537
327	4220	21514
328	4240	21538
329	4250	21510
330	4261	21485
331	4271	21460
332	4282	21438
333	4295	21424
334	4306	21401
335	4324	21414
336	4335	21393
337	4345	21367
338	4357	21348
339	4367	21325
340	4382	21323
341	4398	21322
342	4413	21322
343	4424	21300
344	4435	21278
345	4447	21258
346	4460	21246
347	4471	21224
348	4481	21202
349	4494	21189
350	4506	21172
351	4517	21150
352	4552	21240
353	4565	21226
354	4577	21211
355	4589	21196
356	4602	21181
357	4612	21157
358	4651	21264
359	4662	21240
360	4689	21290
361	4700	21267
362	4711	21246
363	4722	21226
364	4735	21213
365	4746	21192
366	4788	21305
367	4799	21284
368	4810	21263
369	4835	21304
370	4851	21300
371	4862	21279
372	4888	21321
373	4903	21317
374	4915	21298
375	4926	21278
376	4972	21405
377	4985	21392
378	4996	21369
379	5007	21345
380	5018	21324
381	5032	21314
382	5045	21300
383	5056	21279
384	5069	21264
385	5082	21251
386	5101	21264
387	5116	21256
388	5127	21235
389	5137	21210
390	5150	21193
391	5169	21205
392	5180	21184
393	5200	21196
394	5211	21176
395	5222	21152
396	5284	21336
397	5302	21341
398	5312	21318
399	5332	21331
400	5343	21308
401	5354	21284
402	5366	21266
403	5377	21243
404	5390	21227
405	5418	21272
406	5448	21326
407	5459	21303
408	5471	21283
